cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Jack Finger/Alice Ratcliffe/Eve Wersocki-Morris/Lyle Fulton/,Craig Willman/Chami Dhillon/Jin Matsutoja/Jin Matsutoja/Will Pimblett/Will Pimblett/Emma McDonald/Rebecca René/Lizzie Frainier/Alice Child/Emma-Louise Amanshia/Emma McDonald/Alex Jamieson/Steph Warren/James Watson/Joseph Heil/James Bentley/Emily Davenport/Bryony Blackler/,2012-03-21,C. J. Willman,by C. J. Willman,by C. J. Willman,21-24 March 2012,In House,Innocent Infidelity,show,New Theatre,2011-12
Hugh Purves/Zoe Plummer/Tom Sheldon/Zoe Cawardine/John Bell/,Jake Leonard/Brendan Retter/Bryony Blackler/Roger Smissen/Dan Turek/,2011-11-02,John Osborne,by John Osborne,by John Osborne,2-5 November 2011,In House,Look Back in Anger,show,New Theatre,2011-12
Sam Warren/Florence Cave/Jonny Fitzpatrick/James Bentley/Lucy Dollman/Topher Collins/Sophie Perry/Richard Hill/Lara Tysseling/Abby Robinson/Gavi Morris/Rupert Bradshaw/,Tom Barnes/Emily Davenport/Emily Davenport/James Bentley/Kathe Whitaker/Lauren Grant/Roger Smissen/Lydia Scott/,2011-11-23,William Shakespeare,by William Shakespeare,by William Shakespeare,23-26 November 2011,In House,Macbeth,show,New Theatre,2011-12
Nick Jeffrey/Liz Stevens/Genevieve Cunnell/,Tom Barnes/Matt Wilks/Elin Stenner-Matthews/Chris Walters/Roger Smissen/,2012-08-06,C. J. Willman,by C. J. Willman,by C. J. Willman,6-20 August 2012,Edinburgh,Porphyria,show,ZOO Southside,2011-12
Rich Davis/Grace Beckett/Emma McDonald/Emma Clark/Alice Ratcliffe/Andy Routledge/Lizzie Frainier/Tom Dineen/Oli Kiddell/Emma-Louise Amanshia/Ginny Lee/Josh Kaiser/Nick Barker/,Peter Bradley/Lawrence Bolton/Kathryn Feavers/Wawa Hunja/Jess Courtney/Jess Courtney/Dan Turek/Dan Turek/,2011-12-13,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,13-16 December 2011,In House,Rosencrantz and Guildenstern Are Dead,show,New Theatre,2011-12
Topher Collins/Zoe Moulton/Ben Hollands/Nick Jeffrey/,Andy Routledge/Nick Barker/Alex Jamieson/Joseph Heil/Joseph Heil/,2012-05-09,Patrick Barlow,by Patrick Barlow,by Patrick Barlow,9-12 May 2012,In House,The 39 Steps,show,New Theatre,2011-12
Ben Williamson/Cressida McGill/,Ellie Cawthorne/Lydia Scott/Will Pimblett/Natasha Mortimer/,2012-03-14,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,14-17 March 2012,In House,The Beauty Queen of Leenane,show,New Theatre,2011-12
Chris Walters/Gus Miller/,Liz Stevenson/Emily Heaton/,2012-05-07,Harold Pinter,by Harold Pinter,by Harold Pinter,7-8 May 2012,UNCUT,The Dumb Waiter,show,null,2011-12
Nicola Fox/Ginny Lee/Abby Robinson/Lauren Grant/Lucy Dollman/Roger Smissen/,Kathryn Feavers/Wawa Hunja/Emma-Louise Amanshia/Kathryn Feavers/Joseph Heil/Joseph Heil/,2012-02-29,Sarah Daniels,by Sarah Daniels,by Sarah Daniels,29 February-3 March 2012,In House,The Gut Girls,show,New Theatre,2011-12
Conrad Cohen/Robert Leventhall/Jess Courtney/Kerry Stevenson/Georgina Norie/,Adam H. Wells/Jake Leonard/Alice Ratcliffe/,2012-08-02,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,2-27 August 2012,Edinburgh,The Hand-Me-Down People,show,C nova,2011-12
Tom Walsh/Sam Warren/Sam Greenwood/Lucy Bromilow/Nick Slater/Jacob Hayes/Jonny Fitzpatrick/Will Hedges/Tom Dineen/Connor Johnson/John Bell/Eoin Buckley/Alix Hattenstone/,Bridie Rollins/Tess Monro-Somerville/Martha Wilson/Dan Turek/,2012-05-16,Alan Bennett,by Alan Bennett,by Alan Bennett,16-19 May 2012,In House,The History Boys,show,New Theatre,2011-12
Tom Walsh/James Pardon/Sam Hayward/Jack Finger/Rosanna Stoker/Jess Courtney/Becca Clee/,Matt Wilks/Elin Stenner-Matthews/Nicola Fox/Chris Walters/,2011-11-16,Harold Pinter,by Harold Pinter,by Harold Pinter,16-19 November 2011,In House,The Hothouse,show,New Theatre,2011-12
NA,NA,2012-03-19,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,19-20 March 2012,UNCUT,The Lesson,show,Hugh Stuart Library,2011-12
Jenny Kohnhorst/Henry Blanchard/Laura Kaye Thomson/,Adam H. Wells/Rob Greenman/Lydia Scott/Kathryn Feavers/Emma-Louise Amanshia/Joseph Heil/Fran Rylands/,2012-02-15,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,15-18 February 2012,In House,The Off White Horse,show,New Theatre,2011-12
NA,Peter Bradley/Hugh Purves/,2012-06-17,William Shakespeare,by William Shakespeare,by William Shakespeare,17-18 June 2012,UNCUT,The Tempest,show,Open Air/University Park Campus,2011-12
Robert Leventhall/Ashiana Pradhan/Matt Miller/Tom Sheldon/Jake Leonard/Becca Clee/Jenny Kohnhorst/Dani Jeyes/,Adam H. Wells/Rob Greenman/Joseph Heil/Joseph Heil/,2012-05-02,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,2-5 May 2012,In House,Too Far Away,show,New Theatre,2011-12
Eloise Hyde/Alix Hattenstone/Sangeeta Jheinga/Matt Miller/Eve Wersocki-Morris/Tom Sheldon/Olivia Hattenstone/Matthew Llewellyn/William Warren/,William Warren/Lydia Scott/,2011-12-05,William Warren,by William Warren,by William Warren,5-6 December 2011,UNCUT,Tread Softly,show,The Den,2011-12
Richard Hill/Nick Slater/Phil Damms/Sam Peake/Tom Selves/Tom Sheldon/Eoin Buckley/Andrew Sambell/Josh Blake/Lucy Dollman/,Nadia Amico/Alex Mawby/Laura Gallop/Lydia Scott/Joseph Heil/Page Phillips Harrington/Natasha Mortimer/Liz Cornwell/Will Pimblett/Harry Bradley/,2013-03-19,Anthony Burgess,by Anthony Burgess,by Anthony Burgess,19-22 March 2013,In House,A Clockwork Orange,show,New Theatre,2012-13
Freddie Garnett/Emma Dearden/Tim Meredith/Sam Greenwood/Verity Spencer/Zoe Moulton/Nick Slater/Nick Jeffrey/,Ellie Cawthorne/Chelsea Jayne Wright/Natasha Mortimer/Tom Selves/Rory O'Shea/Joseph Heil/Lydia Scott/Wawa Hunja/Emily Heaton/Andy Routledge/Rhianna Bennett/Liv Clark/Ben Hollands/Rory O'Shea/Claire Lennox/,2012-11-14,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,14-17 November 2012,In House,Black Comedy,show,New Theatre,2012-13
Alex Hollingsworth/Nick Walters/Genevieve Cunnell/Emma Dearden/Rosie van Oss/Flo Hapgood/,James McAndrew/Emma-Louise Amanshia/Chelsea Jayne Wright/Philip Geller/Chelsea Jayne Wright/Philip Geller/James Herbert/Robert Leventhall/Joseph Heil/Aubrey Turner/Tom Selves/Nick Stevenson/Tom Selves/Chelsea Jayne Wright/Jo Estrin/Jess Courtney/Emily Heaton/Wawa Hunja/Tessa Denney/Aubrey Turner/Tyler-Antonia Gordon/Nick Barker/Sophie Tebbutt/Emma-Louise Amanshia/James McAndrew/Jess Courtney/,2013-06-12,Marc Camoletti,by Marc Camoletti,by Marc Camoletti,12-15 June 2013,In House,Boeing Boeing,show,New Theatre,2012-13
NA,Lyle Fulton/Joseph Heil/Joseph Heil/Will Pimblett/,2013-06-01,null,Playwright Unknown,Playwright Unknown,1 June 2013,Fundraiser,Bright Ideas,show,New Theatre,2012-13
James Bentley/James Pardon/Amelia Gann/Ben Hollands/Ben Williamson/,Andy Routledge/Alice Ratcliffe/Wawa Hunja/Will Pimblett/Nick Barker/Emma-Louise Amanshia/Joseph Heil/Peter Bradley/Alex Jamieson/Tom Selves/Rory O'Shea/Zoe Plummer/Zoe Moulton/Claire Lennox/Davina Shevonne Sinnatamby/Ben Hollands/Dimitrios Darzentas/Nick Barker/,2013-05-01,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,1-4 May 2013,In House,East,show,New Theatre,2012-13
Nick Barker/Ginny Lee/,Chelsea Jayne Wright/Emily Heaton/Tessa Denney/Jess Courtney/Philip Geller/Jo Estrin/Meghan Seely/Rosie Cave/Judith Marfo/Michael Ferdenzi/Joseph Heil/Louisa Morrison/Emily Heaton/Rachel Considine/Jason Flynn/Jess Courtney/,2013-04-24,Willy Russell,by Willy Russell,by Willy Russell,24-27 April 2013,In House,Educating Rita,show,New Theatre,2012-13
Lydia Hawthorn/Sam Hayward/Daniella Blackford/John Bell/Rhianna Grazier/Will Randall/,Jonathon Newsome/Jess Courtney/Davina Shevonne Sinnatamby/Emily Heaton/,2013-04-29,Ella Hickson,by Ella Hickson,by Ella Hickson,29-30 April 2013,UNCUT,Eight,show,New Theatre Studio B,2012-13
NA,James McAndrew/unknown/Will Pimblett/Joseph Heil/Liz Cornwell/James Bentley/,2012-10-26,null,Various Writers,Various Writers,26-27 October 2012,In House,Freshers' Fringe,show,Trent/Performing Arts Studio,2012-13
Nadia Amico/Ajay Stevenson/Sam Peake/,Matt Miller/Jenny Kohnhorst/Jake Leonard/Dani Jeyes/Ben Hollands/,2012-12-03,Jake Leonard,by Jake Leonard,by Jake Leonard,3-4 December 2012,UNCUT,Jack/aged five and a half,show,New Theatre Studio A,2012-13
Simon Peal/Tom Gladstone/Jake Leonard/Jess Courtney/Eoin Buckley/Ed Colwell/Emma McDonald/Alice Ratcliffe/Sian Beaven/Toby Stevens/Jenny Kohnhorst/Grace Rowland/Phoebe Fairbrother/Will Pimblett/James Bentley/,Peter Bradley/Wawa Hunja/Jess Courtney/Emma-Louise Amanshia/Wawa Hunja/Emma-Louise Amanshia/Nick Barker/Rosie Cave/Mia Obertelli/Lauren Grant/Andy Routledge/Nick Jeffrey/Liz Cornwell/Alexandra Day/Abby Robinson/Lydia Scott/Rosalie Shakir/Jess Curtis/,2012-12-05,Jez Butterworth,by Jez Butterworth,by Jez Butterworth,5-8 December 2012,In House,Jerusalem,show,New Theatre,2012-13
Daniella Blackford/Sam Greenwood/Nicola Fox/Emily Heathcote/Charlotte Prosser/Karl Rawsthorne/Joe Kendall/,Eve Wersocki-Morris/Becca Clee/Will Pimblett/Sam Blade/Greg Link/Dimitrios Darzentas/,2013-05-06,null,Devised by Cast and Crew,Devised by Cast and Crew,6-7 May 2013,UNCUT,Little Red,show,Lincoln Library,2012-13
Emma-Louise Amanshia/Ali Blatcher/Phil Damms/James Gregory/Alix Hattenstone/Emma McDonald/Mitchell Masterson/Toby Stevens/Yalda Tomlinson/Ruth Wogan/Catherine Boot/,Martin Berry/Gem Greaves/Joshua Goodman/Alice Bentham/Ellie Woodhead/Peter Bradley/Zoe Plummer/Alyssa Watts/Nick Hobbs/Richard Statham/Jo James/Joseph Heil/,2013-04-26,Aristophanes,by Aristophanes,by Aristophanes; Translated by Alan Sommerstein,26-27 April 2013,Lakeside,Lysistrata,show,Djanogly Theatre,2012-13
Daniel O'Connor/Jess Lundholm/James Gregory/Emily Brady/Toby Stevens/Ben Stead Lewis/Greg Link/Sam Greenwood/Jessica Ashley/Becky Avery/Catherine Cunningham/Georgie Lack/Harriet Lowe/Ellen Richardson/,Jake Leonard/Jenny Kohnhorst/Greg Link/Euan Ritchie/Emma-Louise Amanshia/Will Pimblett/Will Pimblett/Wawa Hunja/Jess Courtney/Mia Obertelli/Rosie Cave/Mitchell Masterson/Alexandra Day/Claire Lennox/Dani Jeyes/Peter Bradley/Rory O'Shea/Page Phillips Harrington/Bethan Maynard/Alex Jamieson/Matt Wilks/Hugh Purves/Emily Heaton/Abby Robinson/Chelsea Jayne Wright/Nicola Fox/Rory O'Shea/Page Phillips Harrington/Nick Barker/Nick Barker/,2013-05-15,Mary Shelley,by Mary Shelley,by Mary Shelley; Adapted by Jake Leonard,15-18 May 2013,In House,Mary Shelley's Frankenstein,show,New Theatre,2012-13
Oli Kiddell/John Bell/Ellie Cawthorne/Peter Bradley/Hilary Adams/,Jacob Hayes/Tyler-Antonia Gordon/Emma-Louise Amanshia/Wawa Hunja/Joseph Heil/Emma-Louise Amanshia/Wawa Hunja/Alice Child/Matt Wilks/Liz Cornwell/Joseph Heil/Tessa Denney/Nikki Hill/Zoe Moulton/,2013-02-20,Tom Wells,by Tom Wells,by Tom Wells,20-23 February 2013,In House,Me/As A Penguin,show,New Theatre,2012-13
Andy Routledge/Matt Miller/Laura Gallop/Tolu Johnson/Aaron Tej/Ginny Lee/Rosie van Oss/Holly Daniels/,Nadia Amico/Dasha Karzunina/Nick Barker/Will Pimblett/Jess Courtney/Will Pimblett/Tom Barnes/Natasha Mortimer/Nick Ward/Meghan Seely/Zoe Plummer/Joseph Heil/Natasha Mortimer/Amanda Schaerer/Nick Barker/,2012-11-03,Philip Ridley,by Philip Ridley,by Philip Ridley,3-6 November 2012,In House,Mercury Fur,show,Trent/Performing Arts Studio,2012-13
Daniel O'Connor/James Pardon/Tom Sheldon/Alex Mawby/Genevieve Cunnell/Nicola Fox/,Dave Porter/Phil Damms/Tom Tolond/Anna Learoyd/Joseph Heil/Martha Bowyer/,2012-11-12,Dave Porter,by Dave Porter,by Dave Porter,12-13 November 2012,UNCUT,Moon,show,Jubilee CampusBusiness School South Auditorum B52,2012-13
Flo Hapgood/Alexandra Day/,Matt Wilks/Liz Cornwell/Alex Jamieson/Joseph Heil/Tessa Denney/Will Pimblett/Joseph Heil/Rhianna Bennett/Aneira Pugh/Rory O'Shea/Claire Lennox/Nicola Fox/,2012-11-21,Marsha Norman,by Marsha Norman,by Marsha Norman,21-24 November 2012,In House,'night/Mother,show,New Theatre,2012-13
Ben Hollands/Amelia Gann/Richard Hill/Lara Tysseling/Tom Tolond/Nick Barker/Hugh Williams/Emily Thompson/,Bridie Rollins/Martha Wilson/Aneira Pugh/Will Pimblett/Robert Leventhall/Lyle Fulton/Dan Turek/Claire Nias/Joseph Heil/Joseph Heil/Aubrey Turner/Will Pimblett/,2012-11-28,George Orwell,by George Orwell,by George Orwell,28-1 November 2012,In House,Nineteen Eighty-Four,show,New Theatre,2012-13
Lyle Fulton/James Pardon/Page Phillips Harrington/Harriet Davis/,Alice Child/Lauren Wilson/Rory O'Shea/Emma McDonald/Will Pimblett/Will Pimblett/Jessica Bowell/,2012-11-26,Jean-Paul Sartre,by Jean-Paul Sartre,by Jean-Paul Sartre,26-27 November 2012,UNCUT,No Exit,show,Lincoln Library,2012-13
Ajay Stevenson/Daniel O'Connor/Laura Cremona/Lizzie Frainier/James McAndrew/,Ben Williamson/Lucy Dollman/,2013-03-17,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,17-18 March 2013,UNCUT,Osama the Hero,show,A barn in Lenton,2012-13
Matt Miller/Ginny Lee/Lyle Fulton/Jenny Kohnhorst/Jess Curtis/Nadia Amico/Abby Robinson/,Tom Barnes/Matt Wilks/Gabriella Carboneri/,2013-08-03,null,Devised,Devised,3-25 August 2013,Edinburgh,PARADISE,show,ZOO Monkeyhouse,2012-13
Victoria Murphy/Lyle Fulton/Jenny Kohnhorst/Matt Miller/,Tom Barnes/Matt Wilks/Gabriella Carboneri/Eleanor Porter/Alex Jamieson/,2013-02-04,null,Devised,Devised,4-5 February 2013,External,PARADISE,show,Secret Location in Lenton,2012-13
Nick Hughes/Nick Jeffrey/Harry Bradley/Hugh Williams/Tommy Kennedy/Aaron Tej/Will Hedges/Giles Gear/Tom Savage/Chloe Bickford/Verity Spencer/,Bridie Rollins/Martha Wilson/Aubrey Turner/Will Pimblett/Alice Hildreth/Sioned Walker/Lara Tysseling/,2013-03-13,Laura Wade,by Laura Wade,by Laura Wade,13-16 March 2013,In House,Posh,show,New Theatre,2012-13
Lyle Fulton/Matt Wilks/Alex Huntley/Georgina Norie/Phoebe Fairbrother/Lydia Scott/Lal Lumley/Sian Beaven/,Jess Courtney/Grace Rowland/Emma-Louise Amanshia/Jess Courtney/Emma-Louise Amanshia/Mia Obertelli/Hannah Olley/Lauren Grant/Nick Stevenson/Hugh Purves/Jess Courtney/Emily Heaton/Tyler-Antonia Gordon/Nick Barker/,2013-05-08,Richard Bean,by Richard Bean,by Richard Bean,8-11 May 2013,In House,Pub Quiz is Life,show,New Theatre,2012-13
Ajay Stevenson/Jono Lake/,Tom Tolond/Lara Tysseling/Casper Harvey/Lydia Scott/Aubrey Turner/James Bentley/Tyler-Antonia Gordon/Mitchell Masterson/,2013-02-27,John Logan,by John Logan,by John Logan,27 February-2 March 2013,In House,RED,show,New Theatre,2012-13
Daniel O'Connor/Kat Tye/Tom Hicks/James McAndrew/Tom Tolond/Phil Damms/Greg Link/Tom Selves/Lyle Fulton/Hugh Purves/Pam McDuff/Emma-Louise Amanshia/Sam Greenwood/Catherine Cunningham/Mitchell Masterson/Sian Beaven/,Jess Courtney/Chelsea Jayne Wright/Jake Leonard/Nick Stevenson/Will Pimblett/Kat Tye/,2013-06-19,null,Devised,Devised,19-20 June 2013,External,Robin Hood,show,New Theatre,2012-13
Aimee Gaudin/Emma McDonald/Abby Robinson/Amy Brough-Aikin/Kate Chesterfield/Tom Dineen/Jamie Prentis/Jack Revell/Hugh Purves/Ed Colwell/Max McLintock/Jacek Zmarz/,Ellie Porter/Gabriella Carboneri/Tessa Denney/Jess Courtney/Jordan Hallam/Zoe Leigh/Robyn Lawes/Michael Ferdenzi/Joseph Heil/Liz Cornwell/Joseph Heil/Lydia Scott/Zoe Plummer/,2013-03-06,Willy Russell,by Willy Russell,by Willy Russell,6-9 March 2013,In House,Stags and Hens,show,New Theatre,2012-13
Chris Walters/Jack Holden/Sam Warren/Aaron Tej/Amelia Gann/Ellie Cawthorne/John Bell/Greg Link/Ben Hollands/Ben Williamson/Emma McDonald/Jess Courtney/Chloe Bickford/Sam Greenwood/,Gus Miller/Martha Wilson/Dave Porter/Aubrey Turner/,2013-06-03,William Shakespeare,by William Shakespeare,by William Shakespeare,3-7 June 2013,External,The Comedy of Errors - A Shakespeare Experiment,show,New Theatre,2012-13
Lydia Hawthorn/Filipa Braganca/Jessica Lester/Chris Ansell/Tim Meredith/Mikey Nissenbaum/,Shane Chard/Amy McWalters/Unknown/Will Pimblett/Joseph Heil/,2013-03-11,Stephen Beresford,by Stephen Beresford,by Stephen Beresford,11-12 March 2013,UNCUT,The Last of the Haussmans,show,Trent/Performing Arts Studio,2012-13
Rosanna Stoker/Amy Brough-Aikin/Lizzie Frainier/Lucy Dollman/Ben Williamson/Ajay Stevenson/,Nick Hughes/Lauren Grant/Tessa Denney/Lydia Scott/Hon Wong/Krissy Meyer/Mitchell Masterson/Joseph Heil/Eloise Hyde/,2012-11-07,Shelagh Stephenson,by Shelagh Stephenson,by Shelagh Stephenson,7-10 November 2012,In House,The Memory of Water,show,Trent/Performing Arts Studio,2012-13
Sam Hayward/Will Randall/Alex Hollingsworth/Jacob Hayes/Livvy Hobson/Daniel O'Connor/Charlotte Ball/,James McAndrew/Nick Stevenson/Chelsea Jayne Wright/Chelsea Jayne Wright/Gareth Morris/Krissy Meyer/Jess Courtney/Joseph Heil/Emily Heaton/Euan Ritchie/Tariye Peterside/Emma-Louise Amanshia/Emily Goshorn/Ben Hollands/Nick Barker/Frazer Roberts/,2012-12-12,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,12-15 December 2012,In House,The Pillowman,show,New Theatre,2012-13
Amelia Gann/Harry Bradley/Lara Tysseling/Nick Jeffrey/Richard Hill/,Bridie Rollins/Martha Wilson/Nick Davies/,2013-08-03,null,Devised,Devised,3-25 August 2013,Edinburgh,The Project,show,ZOO Monkeyhouse,2012-13
Jack Revell/Harriet Evans/Becca Clee/Laura Cremona/Nick Walters/Emily Brady/,Emily Zinkin/Kiran Benawra/Rory O'Shea/,2012-11-19,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,19-20 November 2012,UNCUT,Chekhov Double BillThe Proposal / The Bear,show,Trent/Performing Arts Studio,2012-13
NA,Tariye Peterside/,2013-02-13,null,Playwright Unknown,Playwright Unknown,13-16 February 2013,External,The Red Herrings PresentThe Best Book I Never Wrote,show,New Theatre,2012-13
NA,NA,2013-01-11,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,11-14 January 2013,Postgrads,The Seagull,show,New Theatre,2012-13
James Bentley/Abby Robinson/Emily Brady/,Eve Wersocki-Morris/James Gregory/Becca Clee/Mitchell Masterson/Ben Hollands/Nick Barker/Dimitrios Darzentas/,2012-12-09,Debbie Isitt,by Debbie Isitt,by Debbie Isitt,9-10 December 2012,UNCUT,The Woman Who Cooked Her Husband,show,Lee Rosy's Tea Rooms,2012-13
Nick Jeffrey/,Tom Tolond/Dave Porter/Dave Porter/,2012-12-09,Tom Tolond,by Tom Tolond,by Tom Tolond,9-10 December 2012,UNCUT,Voice Without Words,show,New Theatre Studio B,2012-13
NA,Will Pimblett/Joseph Heil/,2013-03-07,Kate Tempest,by Kate Tempest,by Kate Tempest,7 March 2013,External,Wasted,show,New Theatre,2012-13
Greg Link/Lawrence Haynes/Kat Tye/Sophie Tebbutt/,James McAndrew/Chelsea Jayne Wright/Nick Stevenson/Jess Courtney/Will Pimblett/,2013-02-07,Matt Leventhall and Adam Paulden; LyricsEd Clarke and Andrew Doyle,by Matt Leventhall and Adam Paulden; LyricsEd Clarke and Andrew Doyle,by Matt Leventhall and Adam Paulden; LyricsEd Clarke and Andrew Doyle,7-9 February 2013,External,Wild West End,show,New Theatre,2012-13
Aaron Tej/Ben Hollands/Amelia Gann/Lucy Bromilow/Chloe Bickford/,Tess Monro-Somerville/Ellie Cawthorne/Tessa Denney/Jo Estrin/Will Hedges/Gus Herbert/,2014-08-01,Jake Leonard and Tess Monro-Somerville,by Jake Leonard and Tess Monro-Somerville,by Jake Leonard and Tess Monro-Somerville,1-25 August 2014,Edinburgh,18B,show,ZOO Monkeyhouse,2013-14
NA,NA,2014-07-24,null,Playwright Unknown,Playwright Unknown,24 July 2014,Previews,18B & Queen B Previews,show,New Theatre,2013-14
Giles Gear/Rosie van Oss/Mikey Nissenbaum/Tom Dineen/Rachel Connolly/Jake South/Will Berrington/Tom Selves/Kate Chesterfield/,Chelsea Jayne Wright/Nikki Hill/Sebastian Frend/Will Pimblett/Mitchell Masterson/Joanna Manning/Tessa Denney/Adam Bergen/Dave Hanks/,2014-06-11,Carlo Goldoni,by Carlo Goldoni,by Carlo Goldoni,11-14 June 2014,In House,A Servant To Two Masters,show,New Theatre,2013-14
Omid Faramarzi/Gary Berezin/Amelia Gann/,Matt Miller/Lilly Dawson/Ginny Lee/Matt Miller/Ginny Lee/Tom Selves/Will Pimblett/Joanne Blunt/,2013-11-11,Matt Miller,by Matt Miller,by Matt Miller,11-12 November 2013,Fringe,Back to Oblivion,show,New Theatre Studio A,2013-14
NA,NA,2014-02-12,null,Playwright Unknown,Playwright Unknown,12-15 February 2014,External,Bantermime,show,New Theatre,2013-14
Nadia Amico/Nick Barker/Harry Bradley/Krishan Pilch/,Tyler-Antonia Gordon/Zoe Langston-Blass/Tyler-Antonia Gordon/Chelsea Jayne Wright/Marguerite Jeanson/Jenny Kohnhorst/Chloe Rushby/Joanne Blunt/Tessa Denney/Laura Gallop/Adam Bergen/Hannah Doyle/Joseph Heil/Nathan Penney/Wesley Nash/Logan Wamsley/Erina Bogoeva/,2014-03-05,Harold Pinter,by Harold Pinter,by Harold Pinter,5-8 March 2014,In House,Betrayal,show,New Theatre,2013-14
